num_gpus,batch size in sec,batch size label,hours seen,wer clean,wer other
0gpu,87.5,87.5 sec,1215.2777777777778,0.6509053560559951,0.8308083220296888
0gpu,87.5,87.5 sec,2430.5555555555557,0.6622223067559343,0.8360430239000439
0gpu,87.5,87.5 sec,3645.8333333333335,0.6286898965307365,0.8155818352024149
0gpu,87.5,87.5 sec,4861.111111111111,0.6242962568472307,0.8197657757484287
0gpu,87.5,87.5 sec,6076.388888888889,0.5821477480219112,0.7928662858452897
0gpu,87.5,87.5 sec,7291.666666666667,0.5148166463785758,0.7511224041419101
0gpu,87.5,87.5 sec,8506.944444444445,0.47352404138770543,0.7241655999847162
0gpu,87.5,87.5 sec,9722.222222222223,0.4469910225197809,0.7037235160384387
1gpu,150.0,150 sec,2083.3333333333335,0.3716905051734632,0.6488737749078196
1gpu,150.0,150 sec,4166.666666666667,0.297930614729154,0.5751676441931108
1gpu,150.0,150 sec,6250.0,0.2554397443700548,0.5337676480140611
1gpu,150.0,150 sec,8333.333333333334,0.2298006695069994,0.5030663125919416
1gpu,150.0,150 sec,10416.666666666666,0.20568320146074257,0.47353036700227347
1gpu,150.0,150 sec,12500.0,0.19225502130249544,0.4476816384234759
1gpu,150.0,150 sec,14583.333333333334,0.1756314668289714,0.424221003763636
1gpu,150.0,150 sec,16666.666666666668,0.16492315885575168,0.4017538161740825
2gpu,300.0,5 min,4166.666666666667,0.30247641509433965,0.581414897885104
2gpu,300.0,5 min,8333.333333333334,0.2297816494217894,0.5056645587757675
2gpu,300.0,5 min,12500.0,0.192711503347535,0.4524960357640946
2gpu,300.0,5 min,16666.666666666668,0.16707242848447962,0.4117264963796496
2gpu,300.0,5 min,20833.333333333332,0.15358718807060256,0.38050933267103526
2gpu,300.0,5 min,25000.0,0.1420800365185636,0.355100013373326
2gpu,300.0,5 min,29166.666666666668,0.1316760499087036,0.33433314865407027
2gpu,300.0,5 min,33333.333333333336,0.12243228849665248,0.3149036165294309
4gpu,600.0,10 min,8333.333333333334,0.22348600121728543,0.4955963548134421
4gpu,600.0,10 min,16666.666666666668,0.16830873402312843,0.40630074699577784
4gpu,600.0,10 min,25000.0,0.1396835057821059,0.35496628011386433
4gpu,600.0,10 min,33333.333333333336,0.1245815581253804,0.3138528552050895
4gpu,600.0,10 min,41666.666666666664,0.11113435788192332,0.28068700685860576
4gpu,600.0,10 min,50000.0,0.10206177723676202,0.2599392468907017
4gpu,600.0,10 min,58333.333333333336,0.095842209373098,0.24503754083640605
4gpu,600.0,10 min,66666.66666666667,0.09066874619598296,0.23061345356590185
8gpu,1200.0,20 min,16666.666666666668,0.1688603164942179,0.41094320157423153
8gpu,1200.0,20 min,33333.333333333336,0.12296485088253196,0.312190741837495
8gpu,1200.0,20 min,50000.0,0.10474360925136944,0.2654605200313318
8gpu,1200.0,20 min,66666.66666666667,0.09279899573950091,0.23965000095523756
8gpu,1200.0,20 min,83333.33333333333,0.08526704199634814,0.2189213457386852
8gpu,1200.0,20 min,100000.0,0.0809304625684723,0.20753491393309517
8gpu,1200.0,20 min,116666.66666666667,0.07647976262933658,0.19761954798158304
8gpu,1200.0,20 min,133333.33333333334,0.07400715155203895,0.19043616147335843
16gpu,2400.0,40 min,33333.333333333336,0.10940353012781497,0.27526125747473396
16gpu,2400.0,40 min,66666.66666666667,0.08631314668289713,0.21261677779263705
16gpu,2400.0,40 min,100000.0,0.07627054169202678,0.1866916302084328
16gpu,2400.0,40 min,133333.33333333334,0.07107805842970176,0.17247769520279693
16gpu,2400.0,40 min,166666.66666666666,0.06793974437005477,0.1646256423972642
16gpu,2400.0,40 min,200000.0,0.06582851491174681,0.1574040463863363
16gpu,2400.0,40 min,233333.33333333334,0.06402160681679854,0.1518445637430029
16gpu,2400.0,40 min,266666.6666666667,0.06255706025562995,0.15104216418623312
32gpu,4800.0,80 min,66666.66666666667,0.09289409616555082,0.2319698909118698
32gpu,4800.0,80 min,133333.33333333334,0.07309418746195984,0.18319546071107884
32gpu,4800.0,80 min,200000.0,0.06575243457090688,0.16697552681351852
32gpu,4800.0,80 min,266666.6666666667,0.06274726110772977,0.15845480771067766
32gpu,4800.0,80 min,333333.3333333333,0.061016433353621426,0.1564105993160499
32gpu,4800.0,80 min,400000.0,0.05919050517346318,0.1569455323538964
32gpu,4800.0,80 min,466666.6666666667,0.0595899269628728,0.15755688439714957
32gpu,4800.0,80 min,533333.3333333334,0.05964698721850274,0.1568500085971381
